Taxa de homicídios (100.000 Habitantes)
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;
AL;2708956;Senador Rui Palmeira;22,2008436321;29,4074400823;36,5336840567;21,7944061024;14,4571345959;14,3822810298;28,6245885215;21,7959895379;7,2369373281;
AL;2709004;Tanque d'Arca;;47,5511174513;;109,8211484154;63,0417651694;31,6555872111;31,7813443509;48,2936252415;16,1629222563;
AL;2709103;Taquarana;45,6875983552;65,4582074522;35,739814153;76,0456273764;40,3002367639;55,0660792952;24,8793352242;15,1599373389;35,2006436689;
AL;2709152;Teotônio Vilela;93,8526513374;65,1647737851;71,6001478197;64,2128196308;77,4663932559;63,3971833537;67,52802413;98,2902075523;36,3967242948;
AL;2709202;Traipu;33,8104361546;41,0294666169;32,9453107841;7,2759022119;25,318287037;28,7769784173;17,8967714224;21,8062874796;14,47596989;
AL;2709301;União dos Palmares;78,968149513;70,8717221828;50,6065113711;80,9222078021;68,432738222;72,715153535;72,4473624632;45,9601066274;22,9144070515;
AL;2709400;Viçosa;38,0025841757;49,4917577188;87,346194744;38,0387234204;72,3919835403;80,12514785;38,2029339853;77,4713356058;38,8002948822;
AM;1300029;Alvarães;6,8615342391;;20,038741567;6,5936964262;13,0242250586;6,4333504889;;;6,3051702396;
AM;1300060;Amaturá;;;39,119804401;;9,3940817285;;;;8,8245675962;
AM;1300086;Anamã;;9,1516427199;8,8621056363;;;;;15,4822727976;;
AM;1300102;Anori;5,9241706161;17,2641998043;;5,4492943164;;10,3669914991;10,1270950428;19,9411735381;19,4760930957;
AM;1300144;Apuí;21,4730513206;10,5019953791;25,7003341043;50,3524672709;29,6150049358;24,2107301956;33,284199515;28,3192523717;55,5993142751;
AM;1300201;Atalaia do Norte;12,7583567237;6,179705846;11,9889701475;11,6455106556;22,6513392604;;5,3766331523;5,2776018577;10,2891243955;
AM;1300300;Autazes;9,0244562765;11,7567527849;17,243856876;2,8126230523;16,5284702901;29,7056440724;7,9465988557;28,8820038859;20,6026268349;
AM;1300409;Barcelos;11,2760759256;11,2044817927;129,8990498812;84,8395426042;18,3324778177;65,6144060074;61,6187611004;99,173553719;65,7798567461;
AM;1300508;Barreirinha;;3,4740316137;3,4170510849;6,7256280055;;3,261578604;9,6447516476;16,0570345869;6,3305162536;
AM;1300607;Benjamin Constant;8,6795509779;11,2432189336;19,1371862868;13,3106165478;18,1667185716;17,728700233;7,4226191949;29,2369164799;16,6587339362;
AM;1300631;Beruri;12,4843945069;12,1484541092;11,8336193125;;11,2625295641;;;5,3098284925;10,3852944231;
AM;1300680;Boa Vista do Ramos;12,9065565307;;12,2062862374;11,8906064209;5,7981098162;11,3231047953;33,185840708;21,7971772655;5,3245301102;
AM;1300706;Boca do Acre;18,9340149579;31,1905430274;15,4182984366;27,4457184679;18,1006395559;17,9120518255;32,5059101655;47,5624256837;55,9218271721;
AM;1300805;Borba;11,0598059004;13,5828964168;13,352204449;2,6265332388;23,265432737;15,2714500242;15,0432493419;22,5213953256;22,1866140762;
AM;1300839;Caapiranga;;;8,481764207;16,6611129623;;8,0521781142;7,922674695;15,7853196527;31,0631358236;
AM;1300904;Canutama;15,1779615998;6,9613644274;13,7353203763;6,7778229633;13,3832976445;;13,0616509927;13,1001506517;25,8899676375;
AM;1301001;Carauari;7,5010313918;22,2932302891;22,0904974044;25,5427841635;14,4675925926;10,7611736853;24,9012841948;10,769672602;14,2470437384;
AM;1301100;Careiro;14,7653781413;11,6302736022;5,7280329935;22,5790974006;25,0431298347;10,9790574479;18,9588863009;37,948606744;42,7990584207;
AM;1301159;Careiro da Várzea;4,039587962;;;3,7422348627;;;;3,45327716;;
AM;1301209;Coari;21,6326270917;27,6694755377;27,3550184025;27,0519520443;41,3569960224;34,9061145883;59,5741638766;91,0866881599;58,1450541105;
AM;1301308;Codajás;20,8281263018;12,2065345648;3,9775665248;27,2415940224;3,8109756098;3,7349667588;18,3130058968;14,5164217021;24,9110320285;
AM;1301407;Eirunepé;18,9137219052;31,0587942976;18,3682840961;33,2055423069;50,6268798952;32,3272695213;55,1347900525;43,602116156;77,4971297359;
AM;1301506;Envira;;5,7836899942;5,6583488938;5,5398592876;21,7167055758;15,9718894745;31,3430496787;31,0896937665;35,5908074029;
AM;1301605;Fonte Boa;25,4194204372;4,3449923963;4,4579172611;13,724324077;9,3923170846;9,6422717192;24,7537006783;31,8437533171;38,4172109105;
AM;1301654;Guajará;;20,355543493;26,6364786575;6,5397946504;6,4254963696;37,9218809253;;37,1517027864;54,8245614035;
AM;1301704;Humaitá;10,9282451424;14,9266461958;27,0692347736;16,2810102367;9,9542106311;9,7456388266;13,3705161019;15,1205866788;20,3699931483;
AM;1301803;Ipixuna;;;4,0661976985;;3,8286304989;3,7231468037;3,6248957842;10,6507615294;6,9125220337;
AM;1301852;Iranduba;30,8144496065;9,3088201071;27,4335878561;24,7174347797;59,6724644728;47,8396068454;47,1061816157;53,377743616;44,1445418427;
AM;1301902;Itacoatiara;13,3578226749;17,517928505;24,7796763559;23,3352425805;16,7169917773;22,652622041;26,3951351735;28,4102439222;20,0090040518;
AM;1301951;Itamarati;;;;;;12,2249388753;;12,6167045168;;
AM;1302009;Itapiranga;11,7730162468;;;22,7946204696;;22,3463687151;44,2477876106;22,2741953447;11,0326566637;
AM;1302108;Japurá;;28,2725473565;;16,4392569456;;;;;;
AM;1302207;Juruá;17,8970917226;8,6273833146;16,6625010414;;;15,1538111835;7,3632280392;7,1906234271;20,961430967;
AM;1302306;Jutaí;;;;17,2651933702;11,78133836;;24,6913580247;26,3244488319;;
AM;1302405;Lábrea;17,948257737;25,0758544597;4,9084572719;14,4230769231;21,2084079555;6,9336908036;15,8834607792;20,2657059221;37,5732125097;
AM;1302504;Manacapuru;27,2485751266;32,462807697;17,6651136088;20,6982951141;27,9572898633;33,9800155034;52,4493863422;33,6558687421;36,3689263893;
AM;1302553;Manaquiri;8,47888757;12,2045482283;11,7357117709;;10,9170305677;3,5192679923;10,2294813653;9,9410166346;3,2105820785;
AM;1302603;Manaus;45,4356728503;53,886045195;53,2054481556;43,8406862757;45,3397785775;54,9153623053;47,842069604;56,3187556165;49,0807497189;
AM;1302702;Manicoré;12,3357799297;16,1459594736;23,7878127106;33,1183884982;17,2403884834;15,0789761375;18,5563184264;22,2008436321;20,0338754621;
AM;1302801;Maraã;;5,496619579;;;5,4451402124;16,2795745605;5,4121340044;;10,9974705818;
AM;1302900;Maués;27,7582441985;25,3338641381;19,4786796997;22,5447860847;8,4984872693;16,6713902272;22,9095074456;17,8600422146;28,6829734682;
AM;1303007;Nhamundá;;;;;;4,9123151741;4,8466049532;4,8494253431;;
AM;1303106;Nova Olinda do Norte;6,2982207526;12,3247573563;9,0505928138;20,6923054184;14,4919135123;28,4446467175;13,9664804469;16,6407810073;16,3394243076;
AM;1303205;Novo Airão;19,6966712626;12,7121337316;6,1614294516;23,9248758897;17,4428745857;28,2965478212;27,5740362874;32,4534833405;31,6222198798;
AM;1303304;Novo Aripuanã;4,5063313956;13,2579105533;26,0179523871;21,2892787192;16,733601071;12,3380629241;28,3194433207;20,1417982597;11,8873083172;
AM;1303403;Parintins;9,473913579;10,3003005815;9,2577163065;7,3243305104;8,151140254;11,6511467417;26,6155647823;15,1719337076;15,0219143221;
AM;1303502;Pauini;10,6422604161;;;5,2222048149;5,1904910205;10,323113451;15,39408867;15,600624025;15,5207201614;
AM;1303536;Presidente Figueiredo;24,9003984064;34,3878954608;13,3173525103;9,6842920782;37,6128385155;60,9533097647;53,4077085126;20,3405590748;22,6295541978;
AM;1303569;Rio Preto da Eva;18,7927535142;18,2388560589;42,5350914504;20,6903686334;30,2287307292;32,7546675401;22,3828100019;34,5944585967;18,4179022009;
AM;1303601;Santa Isabel do Rio Negro;5,3270828894;15,368852459;19,7443111703;9,5301629658;;4,4632894443;;8,4359709803;4,0923228024;
AM;1303700;Santo Antônio do Içá;3,9486673248;4,001920922;4,0559724194;8,2213178773;12,5;4,221903234;;22,3863890754;4,5524902121;
AM;1303809;São Gabriel da Cachoeira;7,6524755758;12,498750125;14,7073242475;19,2423331329;14,1703273346;11,6028125218;22,8149026944;18,1578827909;26,7761513745;
AM;1303908;São Paulo de Olivença;3,0763551344;8,9992800576;2,9277432955;17,1609987701;8,3883234538;5,4731541788;8,0428954424;;5,192782033;
AM;1303957;São Sebastião do Uatumã;18,0603214737;8,7519691931;;;;;15,2613506295;7,4934432372;14,6145414688;
AM;1304005;Silves;11,448196909;;11,2650670271;11,1781801923;;22,0240061667;;;10,9769484083;
AM;1304062;Tabatinga;27,7392510402;27,0236186427;49,1901198131;46,3010597798;30,1598471901;34,4109984105;35,2869470375;28,5193694051;37,2162262747;
