Despesas por função - educação e cultura - municipal
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;
AL;2708006;Santana do Ipanema;18743930,45;21315099,85;19547888,02;23677161,67;29177663,46;31878191,36;31297577,34;30227351,74;
AL;2708105;Santana do Mundaú;1569110,55;6012659,5;;9856319,85;3324577,68;5520211,79;10716822,5;5417634,74;
AL;2708204;São Brás;3706781,94;4050003,71;5886600,3;5001815,38;6196925,71;6381998,97;7027725,06;6768911,16;
AL;2708303;São José da Laje;10185473,32;13522676,25;12711041,54;14172855,89;16202485,53;16781455,51;18295182,09;19399880,1;
AL;2708402;São José da Tapera;19172775,58;23810350,42;25686049,49;28732084,94;31972354,55;34523762,44;40127269,81;33776213,67;
AL;2708501;São Luís do Quitunde;;;;25166989,62;26447975,36;27513789,65;823199,97;655429,01;
AL;2708600;São Miguel dos Campos;27525619,71;30557823,65;34976684,63;39452803,18;45196643,2;47972778,14;50477036,51;49607737,56;
AL;2708709;São Miguel dos Milagres;4868346,57;5819543,17;7628618,97;7869949,5;9459079,32;10358684,08;14592851,26;13159465,38;
AL;2708808;São Sebastião;18414447,22;20958097,02;25011746,27;26955864,95;27813122,09;30464662,47;30021082,79;40358257,64;
AL;2708907;Satuba;7607540,51;8393367,69;7568148,47;9078914,65;9970083,5;10494604,66;10729868,04;12189184,57;
AL;2708956;Senador Rui Palmeira;8463570,96;10149304,61;12226397,37;11788635,58;12186799,46;13602478,5;14756365,02;15787156,95;
AL;2709004;Tanque d'Arca;3971738,96;0;4582767,7;4449158,32;5198994,68;5520809,32;6581401,2;6902829,1;
AL;2709103;Taquarana;11687495,84;13098918,08;15310907,59;17817043,29;19492917,65;21961319,15;23463486,2;22834529,79;
AL;2709152;Teotônio Vilela;26579136,63;30839054,95;32322997,48;;;;;;
AL;2709202;Traipu;16261526,87;;;21594432,67;19204129,01;24544063,51;45835307,04;23353179,15;
AL;2709301;União dos Palmares;29374301,63;37603792,16;36204895,26;44240505,56;42377749,54;45688297,18;51583988,26;51226287,24;
AL;2709400;Viçosa;11965299,03;14513899,68;17221807,68;16215050,13;18103334,32;16544217,92;19606202,62;897422,61;
AM;1300029;Alvarães;9795681,36;10052582,13;12993383,56;12559297,09;12456014,78;13523963,87;11925550,38;16371321,75;
