Despesas por função - saúde e saneamento - municipal
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;
AM;1301209;Coari;45365995,04;52378834,4;54850798,81;64258468,49;70482156,9;47399202,24;57682918,36;48908615,27;
AM;1301308;Codajás;3574907,7;;;5809231,99;7218851,24;7410191,5;7582361,66;9368171,25;
AM;1301407;Eirunepé;;;;18231344,49;18029263,47;10063719,82;8308465,99;11224144,99;
AM;1301506;Envira;4566060,46;4781849,77;5784268,59;5612326,31;6703300,22;5431224;7734018,87;7111241,5;
AM;1301605;Fonte Boa;8513596,05;8357572,52;9609893,92;8227101,82;11648964,13;12365003,56;12083683,09;13886737,38;
AM;1301654;Guajará;2685576,87;3129107,23;4236496,36;4932466,47;6443934,54;5699049,75;5330541,69;6383528,81;
AM;1301704;Humaitá;16022645,01;18601564,17;19031302,67;20885686,26;23240607,78;25114685,73;23730997,22;26176959,72;
AM;1301803;Ipixuna;4424885,87;4756265,36;5154458,38;6653830,06;7208726,02;8023723,46;8528831,59;7609192,42;
AM;1301852;Iranduba;10024987,05;12042307,38;15005955,9;13719844,93;17560472,72;15889862,33;12884053,01;15297198,32;
AM;1301902;Itacoatiara;27055706,24;35273945,29;;51467150,47;50575241,62;49974113,58;47913855,29;46407644,44;
AM;1301951;Itamarati;2841501,83;3079411,99;2937400,67;3667408,6;;4957678,18;3999810,84;4240838,55;
AM;1302009;Itapiranga;2958395,75;3015325,68;;4348196,6;4214952,14;2897536,8;3244419,02;4219044,38;
AM;1302108;Japurá;3712713,54;5345576,66;4949306,42;4561601,54;4837848,56;3853662,17;5091828,38;6403495,1;
AM;1302207;Juruá;3051444,19;3202592,64;3973431,62;5041568,25;5601160,39;4611003,97;4619086,01;5085906,95;
AM;1302306;Jutaí;4048251,53;;;5980056,04;7733524,67;7483247,12;10556310,02;8692510,85;
AM;1302405;Lábrea;9658060,63;14059682,03;11730858,39;13770510,83;12519561,79;10782674,49;10591605,27;13873186,68;
AM;1302504;Manacapuru;19006414,92;23726700,59;26871338,53;34109346,57;38672274,02;38564035,03;42134794,92;40155356,27;
AM;1302553;Manaquiri;4991117,35;4310450,13;5877066,63;5731720,17;7831787,42;6491466,28;7314223;7567072,98;
AM;1302603;Manaus;466566158,42;532659689,68;620951877,58;690733869,71;714848624,29;797700206;795151077,56;808443327,37;
AM;1302702;Manicoré;9490104,94;10810802,65;12407268,15;11769780,55;15794123,97;14564259,16;9518932,58;12717351,23;
AM;1302801;Maraã;5243124,54;5421088,71;4777564,33;6223374,84;8633562,22;5966699,93;6501722,47;8874527,72;
AM;1302900;Maués;16105880,49;18876304,56;23637220,7;20631903,66;28409608,43;25668077,61;27021389,45;24757330,97;
AM;1303007;Nhamundá;1746677,99;4514599,45;5017913,72;5033548,62;6137563,47;6299306,45;6686092,75;7580913,07;
AM;1303106;Nova Olinda do Norte;7224795,21;9198131,75;10638150,57;9149865,08;11988914,15;11592648,1;12048414,3;11429354,47;
AM;1303205;Novo Airão;2906653,39;2805021,5;3051332,81;4305388,71;4380252,22;5367484,66;;5493016,19;
AM;1303304;Novo Aripuanã;4561006,54;;5512503,63;6075724,78;7791413,04;6575373,23;9463915,16;8019816,66;
AM;1303403;Parintins;32598554,6;33863304,94;42317410,09;40822819,55;44979808,64;43888758,18;;45912328,63;
AM;1303502;Pauini;8286278,58;8449974,79;5816169,78;5418141,47;;;8350176,12;8041035,39;
AM;1303536;Presidente Figueiredo;16663531,75;19469749,23;22990471,82;26017408,24;30201281,12;32333295,47;31021429,93;29910544,2;
AM;1303569;Rio Preto da Eva;7385779,92;8997165,14;10000659,04;9557065,92;11919456,85;9484449,35;10699479,54;11687864,25;
AM;1303601;Santa Isabel do Rio Negro;7364238,72;5905930,82;6830663,57;;5493665,46;;2083035,91;8439417,13;
AM;1303700;Santo Antônio do Içá;5866358,86;6971944,76;7541023,39;6796608,46;8777708,87;8244396,59;9141812,99;11160543,82;
AM;1303809;São Gabriel da Cachoeira;8608368,73;10658549,15;;13099228,01;13154984,48;15532602,62;11437473,3;13038901,06;
AM;1303908;São Paulo de Olivença;6029550,18;6040206,46;5785463,39;8953623,15;10160883,34;7266124,54;12765621,46;9628224,39;
AM;1303957;São Sebastião do Uatumã;3429526,25;4702537,52;4600751,8;4556272,37;6174711,28;5188249,09;5250027,43;5401890,04;
AM;1304005;Silves;2714055,21;3094301,56;4042340,34;4245315,45;3455810,07;3104317,56;3991778,2;3770338,14;
AM;1304062;Tabatinga;28189884,3;8913743,49;1866732,9;16009579,63;14009729,16;;;15078878,79;
AM;1304104;Tapauá;7406278,04;7498435,03;8628397,79;6885812,93;8659811,8;8497486,33;8559217,45;5780595,07;
AM;1304203;Tefé;19051902,11;24026196,74;22205530,93;26094223,49;25721193,9;25273246,37;25992165,78;32106772,08;
AM;1304237;Tonantins;4962160,81;4997331,92;5780396,24;7062308,14;7628483,56;8275052,92;8715267,3;8686431,14;
AM;1304260;Uarini;4551241,32;4269868,32;5836941,28;;4453646,86;2622492,6;2509331,04;6344667,33;
AM;1304302;Urucará;5199288,58;6348434,3;8360644,59;8385677,95;7883594,83;8640048,95;8845312,65;8222233,32;
AM;1304401;Urucurituba;5661305,6;6635819,97;6034114,79;6842351,25;6184498,97;6055927,19;6091743,78;7832266,01;
AP;1600055;Serra do Navio;1605102,65;890790,09;2056173,23;2279302,68;2796795,05;2007966,85;2313728,68;2408548,67;
AP;1600105;Amapá;;;;2645143,27;3740127,74;2789654,81;4095313,03;2709185,25;
AP;1600154;Pedra Branca do Amaparí;4148904,94;6276160,82;10030864,78;;14906170,66;9136273,3;8886037,88;8305877,77;
AP;1600204;Calçoene;1953013,08;2333408,46;2777054,62;3228132,96;2681118,3;2727499,81;2832901,88;3992226,27;
AP;1600212;Cutias;1394989,83;1645059,37;;;1862686,35;;;;
AP;1600238;Ferreira Gomes;1695388,31;2202051,96;3737408,97;3898713,21;5285513,94;4889405,95;3876680,58;4142785,62;
AP;1600253;Itaubal;1643671,06;;;;2343112,72;2343112,72;2343112,72;;
AP;1600279;Laranjal do Jari;6653362,71;9369812,95;15450803,23;;9732009,57;10654803,59;;14445434,32;
AP;1600303;Macapá;86021522,92;94636179,22;99708762,44;92947909,91;104173927,08;136109382,6;142584133,88;136481457,58;
AP;1600402;Mazagão;4244727,34;4504097,12;;5513448,95;7048479,12;5423325,66;;0;
AP;1600501;Oiapoque;4061099,78;4598104,91;;;;;;7588282,22;
AP;1600535;Porto Grande;3612495,39;6104420,53;6852361,73;5642240,12;7042569,59;7618177,29;8256149,88;7129299,19;
AP;1600550;Pracuúba;1708376,46;1940283,34;1770949,71;;2297927,69;;1721980,31;1806152,51;
AP;1600600;Santana;21657445,65;23002561,09;23344914,61;23781457,83;;30085955,42;17272222,54;32497468,41;
AP;1600709;Tartarugalzinho;2705730,35;2973397,34;3167370,75;17207,3;3692689,45;;;;
AP;1600808;Vitória do Jari;4152861,69;4251307,31;3578502,15;4706112,92;4834244,69;3830414,01;6016366,38;6559227,26;
BA;2900108;Abaíra;2816480,24;3710158,04;4384944,8;4373726,38;4288733,92;4129817,58;5323309,67;4143479,29;
BA;2900207;Abaré;6887072,84;6811571,99;;10303661,01;9784846,29;15087714,61;;10929931,44;
BA;2900306;Acajutiba;;;;5756684,29;6097652,28;6521477,28;6844648,34;6818306,46;
BA;2900355;Adustina;3634031,34;3936161,59;4258937,76;4351937,17;5247118,71;5341763,12;5964678,47;6523390,95;
